question,answer,total,original_question,original_answer
0,absolute convergence series,mathematics infinite series said converge absolutely absolutely convergent sum absolute finite,absolute convergence series mathematics infinite series said converge absolutely absolutely convergent sum absolute finite,What is the absolute convergence of a series?,"In mathematics, an infinite series of numbers is said to converge absolutely (or to be absolutely convergent) if the sum of the absolute values of the summands is finite."
1,direct substitution property,direct substitution property f polynomial rational function domain f lim f x f,direct substitution property direct substitution property f polynomial rational function domain f lim f x f,What is Direct Substitution Property?,"Direct Substitution Property. If f is a polynomial or a rational function and a is in the domain of f, then lim. x→a. f(x) = f(a)"
2,absolute maximum minimum,absolute maximum point point function possible value similarly absolute minimum point point function least possible value,absolute maximum minimum absolute maximum point point function possible value similarly absolute minimum point point function least possible value,What are absolute maximum and minimum values?,"An absolute maximum point is a point where the function obtains its greatest possible value. Similarly, an absolute minimum point is a point where the function obtains its least possible value."
3,absolute value,absolute value distance zero number number line without considering direction absolute value number never negative take look absolute value absolute value absolute value,absolute value absolute value distance zero number number line without considering direction absolute value number never negative take look absolute value absolute value absolute value,What is an absolute value?,"Absolute value describes the distance from zero that a number is on the number line, without considering direction. The absolute value of a number is never negative. Take a look at some examples. 
* The absolute value of 5 is 5.
* The absolute value of –5 is 5.
* The absolute value of 0 is 0.
"
4,absolute value function,absolute value function function algebraic expression within absolute value recall absolute value number distance number line absolute value parent function written f x x defined f x x x x,absolute value function absolute value function function algebraic expression within absolute value recall absolute value number distance number line absolute value parent function written f x x defined f x x x x,What is the absolute value function?,"An absolute value function is a function that contains an algebraic expression within absolute value symbols. Recall that the absolute value of a number is its distance from 0 on the number line. The absolute value parent function, written as f(x)=| x |, is defined as. f(x)={x if x>0 and x=0−x if x<0}."
5,airy function,physical airy function ai special function astronomer airy function ai related function linearly independent differential equation known airy equation equation,airy function physical airy function ai special function astronomer airy function ai related function linearly independent differential equation known airy equation equation,What is the Airy function?,"In the physical sciences, the Airy function Ai is a special function named after the British astronomer George Biddell Airy. The function Ai and the related function Bi, are linearly independent solutions to the differential equation
$\frac{d^2y}{dx^2} - xy = 0, \, \!$
known as the Airy equation or the Stokes equation."
6,alternating series,alternating series series alternate positive negative general form alternating series n n slight variation,alternating series alternating series series alternate positive negative general form alternating series n n slight variation,What are alternating series?,"An alternating series is a series where the terms alternate between positive and negative.

The general form of alternating series is $\sum_{n=1}^{\infty} (-1)^{n} a_{n}$, with slight variation. "
7,alternating series estimation theorem,alternating series estimation theorem us way approximate sum alternating series remainder error calculate use theorem series must follow two series must decreasing n b n,alternating series estimation theorem alternating series estimation theorem us way approximate sum alternating series remainder error calculate use theorem series must follow two series must decreasing n b n,What is the Alternating Series Estimation Theorem?,"The alternating series estimation theorem gives us a way to approximate the sum of an alternating series with a remainder or error that we can calculate. To use this theorem, our series must follow two rules: The series must be decreasing, $ b_n ≥ b_{n + 1} $ $ b_n \geq b_{n+1} $ $ b{n}​≥b{n+1} ​$"
8,angle,angle two deferred single point angle turn around one position another vector,angle angle two deferred single point angle turn around one position another vector,What is an angle between vectors?,"The angle between two vectors, deferred by a single point, called the shortest angle at which you have to turn around one of the vectors to the position of co-directional with another vector."
9,angular momentum,angular momentum defined property rotating object given moment inertia times angular velocity property rotating body given product moment inertia angular velocity rotating object,angular momentum angular momentum defined property rotating object given moment inertia times angular velocity property rotating body given product moment inertia angular velocity rotating object,What is angular momentum?,Angular momentum is defined as: The property of any rotating object given by moment of inertia times angular velocity. It is the property of a rotating body given by the product of the moment of inertia and the angular velocity of the rotating object.
10,angular speed,angular speed measure fast central angle rotating body respect time,angular speed angular speed measure fast central angle rotating body respect time,What is angular speed?,Angular speed is the measure of how fast the central angle of a rotating body changes with respect to time.
